artist,title,danceability,valence,arousal,instrumentalness,tempo
Yapzech,We Are Stepping In,0.633956611156464,4.25205659866333,4.44658470153809,0.811607897281647,121
HEL9000,binary-b1o0d,0.431068450212479,3.76451253890991,4.89260482788086,0.660587370395660,155
Yun+More,Do AIs Dream,0.300595134496689,3.58730792999268,3.73079609870911,0.886642098426819,154
Emo Hues,Moonlit Tears,0.430945187807083,3.50924062728882,4.71652317047119,0.529436290264130,118
Almost Human,Yesterday,0.879828155040741,3.63057780265808,3.97275066375732,0.813057184219360,154
KicKRaTT KaOzBrD,ARBOREAL,0.851765573024750,3.75963401794434,4.53384637832642,0.534581780433655,116
Ceremony Shadows,Sunfall,0.517831981182098,3.54680871963501,4.20266962051392,0.586852192878723,154
Vonpsyche,The Nature,0.206954821944237,3.53799700737000,4.08805036544800,0.547570228576660,154
Onda Corta,Sud America,0.587184071540833,3.75419783592224,4.91446256637573,0.398695856332779,121
swansong,Ochiai Toshiya,0.748474776744843,3.42766880989075,4.06021928787231,0.481762588024139,116
PHANTOMSCHMERZ,Tanz Mit Der KI,0.395772635936737,3.28989362716675,4.11649990081787,0.633471548557281,75
TIKHET,All Machineries,0.783806383609772,3.27158093452454,4.10790729522705,0.622467875480652,64
Error305,Heart Not Found,0.354435682296753,3.82279062271118,4.85807847976685,0.404937386512756,75
CracksInTheReal,Petrushka Rising,0.725572288036346,3.39438080787659,4.07917165756226,0.659509778022766,85
Forest Little Music,The Laziness Complex,0.453242421150208,3.88434290885925,3.75515699386597,0.904014348983765,154
Robots Make Music,Whatever,0.514100432395935,3.91083455085754,4.68839168548584,0.542201459407806,87
Seva M,Defy the Odds (Again),0.713485121726990,4.17277526855469,4.76291227340698,0.441675335168839,97
mFriendOB3,Danish Vanish,0.408244609832764,3.64084529876709,4.22198390960693,0.557424247264862,75
Asian Culture Research Team,Overfitting,0.577537357807159,3.70650458335876,4.27381610870361,0.666083812713623,121
KeRa,Echoes Of The Synthetic Forest,0.562767863273621,3.35133147239685,4.09532499313354,0.727352023124695,154
Dadabots,Genre Cannon,0.641940593719482,3.97211742401123,4.62334632873535,0.733945012092590,140
Pol Wagner,Awakening,0.729888021945953,3.69214653968811,4.55777120590210,0.519013941287994,80
Ziinan,Signal Voyage,0.722286343574524,4.33029270172119,4.56898689270020,0.744048357009888,138
StriderQED,Inspiration,0.743297576904297,4.27630376815796,4.59378528594971,0.523427546024323,67
ETFM ,Wakeup,0.634482979774475,4.16479587554932,4.37775182723999,0.796397030353546,116
GANTASMO,Natures Tomb,0.398453116416931,3.34012627601624,4.01244497299194,0.580350816249847,90
Botuoso,RabbitHole,0.697199642658234,3.26817679405212,4.03111457824707,0.586408853530884,77
The Grand Wamenawers,Toxic,0.821019828319550,4.21093225479126,4.47953796386719,0.648208498954773,63
The Rockbots,Generative Love,0.447549968957901,4.13586711883545,4.89894914627075,0.369559705257416,75
Genealogy,Lalala,0.465957581996918,3.68986439704895,4.71410799026489,0.615436196327209,121
DJ Swami,One Mantra,0.564102292060852,3.02190542221069,3.79033756256104,0.684796988964081,154
Jenny Perelli,Lets Fight,0.315669685602188,3.65392613410950,4.38663434982300,0.591698348522186,132
